controller_name,feature_name,category,description,evidence,type,dependencies
"EHC-1000","PCIe IDE (Integrity and Data Encryption)","Security","Optionally supports PCIe IDE for link-layer integrity and confidentiality. Protects TLPs against tampering and eavesdropping. Requires key provisioning and policy. Interoperates only with IDE-capable devices. Useful in hostile physical environments.","Spec §5 Feature Summary (PCIe)","Explicit","Requires IDE-capable endpoints, key management, and PHY support; may affect latency"
"EHC-1000","PCIe FLIT Mode (where applicable)","Performance","Optionally supports FLIT mode to increase efficiency with fixed-size flow control units. Reduces overhead and improves throughput at high speeds. Requires compatible link partners. Mode selection is negotiated or configured. Intended for advanced PHY/link layers.","Spec §5 Feature Summary (PCIe)","Explicit","Requires PHY/link support and endpoint compatibility; software must select mode if configurable"
"EHC-1000","PCIe Legacy INTx Emulation","Interrupt","Emulates legacy INTx signaling on the root port when required. Allows compatibility with devices expecting INTx. Aggregator maps events to SoC interrupts. Coexists with MSI/MSI-X. Useful during early boot or legacy OS scenarios.","Spec §9.1 PCI Express, §13","Explicit","Requires routing in interrupt aggregator and device configuration; may need ECAM accesses"
"EHC-1000","USB 3.2 Gen1 x1 Dual-Role (Host Default)","Interface","Integrates a single-port SuperSpeed USB controller capable of dual-role operation. Default mode is Host per specification. Supports root hub functions and standard port management. Registers follow a simplified XHCI-like model. Backward compatible to HS/FS/LS via companion functionality.","Spec §5 Feature Summary (USB), §9.2 USB, §8.4 USB Host","Explicit","Requires PD_USB power, USB PHY clocks (125/60 MHz), and port power sequencing; pin mux as platform-specific"
"EHC-1000","USB High/Full/Low-Speed Support","Performance","Operates with USB 2.0 signaling rates for wide device compatibility. Manages link states and transitions across speeds. Handles split transactions where applicable. Ensures enumeration and transfer reliability across legacy devices. Complements SuperSpeed host capabilities.","Spec §5 Feature Summary (USB), §9.2 USB","Explicit","Requires appropriate PHY and companion path; port power and VBUS control must be active"
"EHC-1000","USB Port Power, Overcurrent, and Wake-on-Connect","Power/Interrupt","Provides per-port power control to manage VBUS. Monitors and reports overcurrent conditions. Supports wake on device connect for low-power resume. Events are surfaced via USBSTS/INTR. Enables robust and power-aware USB operation.","Spec §9.2 USB, §8.4 USBCMD/USBSTS/PORTSC1","Explicit","Requires PD_USB retention/wake logic; INTR_ENABLE configured; external power switch or PHY support for OC detection"
"EHC-1000","I2C: 4 Master Controllers up to 1 MHz (FM+)","Interface","Includes four independent I2C master instances. Supports Standard, Fast, and Fast-mode Plus speeds up to 1 MHz. Works with 7-bit and 10-bit addressing. Provides transmit and receive FIFOs. Interrupts and status allow polled or event-driven operation.","Spec §5 Feature Summary (I2C), §9.3 I2C, §8.5 I2C_*","Explicit","Requires PD_PERIPH power, I2C clock dividers configured, and pull-ups on SDA/SCL lines"
"EHC-1000","I2C Multi-master Capability","Interface","Supports multi-master arbitration per I2C specification. Allows coexistence with other masters on the bus. Clock stretching by slaves is tolerated. Software should manage bus contention. Enhances flexibility in complex systems.","Spec §9.3 I2C","Explicit","Requires correct bus pull-ups and timing; SPEED and RESTART_EN configured as needed"
"EHC-1000","I2C Clock Stretching Support","Interface","Honors slave-driven clock stretching on SCL. Prevents overrun in slower peripherals. Integrated into controller timing logic. Visible via status when stretching occurs. Ensures protocol compliance with diverse devices.","Spec §9.3 I2C, §8.5 timing registers","Explicit","Requires timing registers configured for selected speed and stable peripheral clocks"
"EHC-1000","SPI: 2 Masters up to 50 MHz, Modes 0–3, up to 8 CS","Interface","Provides two independent SPI master controllers. Supports up to 50 MHz SCK with modes 0, 1, 2, and 3. Each instance can control up to eight chip selects. Transmit and receive paths are full duplex. Interrupts report status and errors.","Spec §5 Feature Summary (SPI), §9.4 SPI, §8.6 SPI_*","Explicit","Requires PD_PERIPH power, SPI_BAUD configured, and chip select lines wired via pinmux"
"EHC-1000","SPI Programmable Word Size (up to 32 bits)","Interface","Allows framing of transfers with up to 32-bit word sizes. Programmable via control registers for protocol compatibility. Simplifies integration with wide-register peripherals. Reduces CPU overhead by packing data. Works with all SPI modes.","Spec §8.6 SPI_CTRL0","Explicit","Requires SPI_CTRL0.FRAME_SIZE configured and endpoints supporting selected word width"
"EHC-1000","SPI Optional DMA Handshake","Performance","Optionally connects SPI data movement to the DMA engine. Enables high-throughput, low-CPU transfers. Uses channel handshakes or memory-based descriptors. Improves latency consistency under load. Beneficial for large or continuous streams.","Spec §9.4 SPI (optional DMA handshake)","Explicit","Requires DMA channel allocation and SPI/DMA handshake configuration; PD_DMA and PD_PERIPH on"
"EHC-1000","UART: 2x 16550-Compatible up to 4 Mbps with FIFOs and RTS/CTS","Interface","Integrates two UARTs compatible with 16550 programming model. Supports baud rates up to 4 Mbps. Includes 16-byte or larger FIFOs to reduce interrupts. Optional hardware flow control with RTS/CTS. Provides standard interrupt and status registers.","Spec §5 Feature Summary (UART), §9.5 UART, §8.7 UART_*","Explicit","Requires PD_PERIPH power, baud divisors configured (IBRD/FBRD), and pins muxed for UART/RTS/CTS"
"EHC-1000","GPIO: 32 Lines with Interrupt-on-Change, Debounce, Drive/Pull","Interface/Interrupt","Exposes 32 configurable GPIOs. Each pin supports direction, pull, and drive strength control. Debounce filters spurious edges. Interrupts can be edge or level with polarity control. Status and clear registers support rapid ISR handling.","Spec §5 Feature Summary (GPIO), §9.6 GPIO, §8.8 GPIO_*","Explicit","Requires PD_PERIPH power and pinmux assignment; INT routing via aggregator must be configured"
"EHC-1000","Timers and Watchdog","Timer/Safety","Provides general-purpose timers for scheduling and a watchdog for system recovery. Timers support load, start/stop, and interrupt on expiry. Watchdog includes control, clear, and lock registers. Enables periodic tasks and fail-safe resets. Integrated into interrupt framework for event handling.","Spec §8.10 Timers/Watchdog","Explicit","Requires PD_PERIPH power and clock; interrupt routing configured; watchdog lock sequence observed"
"EHC-1000","DMA Engine: 8 Channels, Ring and Linked-List Modes","Data Handling","Integrates an 8-channel DMA engine for memory-to-device and device-to-memory transfers. Supports ring mode with descriptor rings and linked-list mode for flexible queues. Doorbells advance producer indices for asynchronous enqueue. Per-channel interrupts signal descriptor and transfer completion. Global configuration controls QoS and burst behavior.","Spec §5 Feature Summary (DMA), §6 Block Architecture (DMA), §8.3 DMA_*","Explicit","Requires PD_DMA power, DMA_GBL_CFG.DMA_EN=1, channel descriptors in accessible memory, and interrupt routing"
"EHC-1000","PCIe-Directed DMA (Host Memory <-> PCIe)","Data Handling/Performance","DMA channels can source or sink to PCIe MMIO or memory via iATU mappings. Enables high-throughput data movement with minimal CPU. Works for device register streaming or host memory accesses. Coherency attributes are programmable for system integration. Complements MSI/MSI-X for completion signaling.","Spec §5 Feature Summary (DMA), §9.7 DMA, Appendix B","Explicit","Requires iATU regions programmed, DMA channels configured, and appropriate AXI attributes; ensure ordering as needed"
"EHC-1000","DMA QoS and AXI Burst Length Programmability","Performance","Allows software to tune AXI QoS for arbitration friendliness. Burst length controls balance latency and efficiency. Facilitates coexistence with CPU and GPU traffic. Useful for meeting real-time constraints. Configured via DMA_GBL_CFG.","Spec §8.3 DMA_GBL_CFG","Explicit","Requires PD_DMA active and interconnect support for QoS/burst hints"
"EHC-1000","AXI4 Master and Inbound AXI4 Slave Windows","Interconnect","Data plane uses AXI4 master for DMA and PCIe outbound traffic. An AXI4 slave window accepts inbound PCIe traffic to memory-mapped targets. Ensures high bandwidth and standard integration. Supports coherency attributes where applicable. Provides scalability across SoCs.","Spec §6 Block Architecture, §9.7 DMA","Explicit","Requires AXI fabric connectivity and clocking; coherent interconnect if coherency used"
"EHC-1000","Interrupt Aggregator: 128 Inputs to GIC with Programmable Routing","Interrupt","Collects interrupts from PCIe, DMA, USB, I2C, SPI, UART, GPIO, and timers. Provides enable/disable, masking, and status per source. Routes up to eight outputs to SoC GIC with CPU affinity control. Simplifies interrupt management and scaling. Supports MSI/MSI-X steering.","Spec §5 Feature Summary (Interrupts), §6 Interrupt Aggregator, §8.9, §13","Explicit","Requires aggregator ROUTE_CFG programmed and GIC configuration; per-source enables must be set"
"EHC-1000","Per-Block and Global Software Resets","Reset","Provides software-initiated resets at global and per-domain levels. GBL_CTRL.SOFT_RESET offers top-level reset. Power domain control includes per-block resets. Facilitates clean reinitialization without power cycling. Coordinates with PCIe hot reset for link-specific recovery.","Spec §8.1 GBL_CTRL, §11 Resets, §12 Initialization","Explicit","Requires clocks active to take effect; software must reprogram context after reset"
"EHC-1000","Multi-Domain Power Gating (PD_CORE/PD_PCIE/PD_USB/PD_PERIPH/PD_DMA)","Power","Implements separate power domains for fine-grained gating. Software can power on/off interfaces to save energy. Domains retain state when configured for retention. Power transitions are visible in status. Enables aggressive power management policies.","Spec §8.1 PWR_DOMAIN_CTRL, §10 Power Architecture","Explicit","Requires coordination with clock gating and quiesce of in-flight transfers; wake sources configured for resume"
"EHC-1000","Low-Power States: CLK_GATED, RETENTION, OFF","Power","Supports multiple low-power states beyond simple clock gating. Retention preserves critical state for fast resume. OFF achieves maximal savings with power gating. Entry/exit sequences are provided for safe transitions. Wake events re-enable power and clocks.","Spec §10 Power Architecture, §12.10 Low-Power Entry/Exit","Explicit","Requires software-controlled sequences via GBL_CTRL and PWR_DOMAIN_CTRL; wake sources must remain powered"
"EHC-1000","Configurable Wake Sources (PCIe PME, USB Connect, GPIO, Timer)","Power","Allows specific events to wake the subsystem from low power. PCIe PME, USB connect, GPIO edge, and timer expiry are supported. Aggregator conveys wake cause to software. Helps implement low-power idle strategies. Minimizes latency to resume.","Spec §10 Power Architecture, §12.10","Explicit","Requires retention of wake logic and proper interrupt routing; device-side PME/wake must be enabled"
"EHC-1000","Clocking: REFCLK_PCIE 100 MHz, AXI/APB 50–200 MHz, USB PHY 125/60 MHz","Clock","Defines required clocks for stable operation of subsystems. PCIe requires a 100 MHz SSC-compliant reference. AXI/APB control clocks run from 50–200 MHz. USB PHY clocks of 125/60 MHz are used as needed. Per-block dividers are available under software control.","Spec §11 Clocks and Reset","Explicit","Requires board-level clock sources or PLLs, GBL_CTRL.CLK_EN asserted, and clock domain sequencing"
"EHC-1000","Sticky Error/Status and Global Interrupt Summary","Debug","Provides sticky status registers to capture error and event history. Global interrupt summary aids quick ISR entry decisions. Software clears bits after logging. Improves post-mortem analysis. Reduces need for intrusive tracing.","Spec §8.1 GBL_STATUS/GBL_INT_STATUS, §14 Error Handling and Debug","Explicit","Requires periodic polling or ISR handling to harvest and clear sticky bits"
"EHC-1000","Performance Counters and Monitors (Optional)","Debug/Performance","Includes optional performance counters for throughput and latency. Helps profile workloads and tune settings. Counters can be read without disturbing data paths. Facilitates regression testing and capacity planning. Availability may vary by synthesis.","Spec §5 Feature Summary (Debug), §14","Explicit","Requires debug blocks enabled in configuration and clocks active during measurement"
"EHC-1000","JTAG Boundary Scan (Optional)","Debug/Test","Optionally supports JTAG boundary scan for production test. Enables pin-level verification and board bring-up. Non-intrusive access to IO cells is provided. Complements software diagnostics. Useful in manufacturing and field service.","Spec §5 Feature Summary (Debug)","Explicit","Requires JTAG pins connected and test access enabled per platform policies"
"EHC-1000","AXI Master Security Attributes (Secure/Non-secure/Privileged)","Security","DMA and PCIe AXI master transactions can be tagged with security attributes. Supports separation of secure and non-secure traffic. Privilege levels can be enforced by the interconnect. Aids in building trusted execution environments. Configured via DMA global registers.","Spec §15 Security and Protection, §8.3 DMA_GBL_CFG","Explicit","Requires SoC interconnect honoring attributes and correct OS/firmware configuration"
"EHC-1000","Inbound Access Whitelisting via iATU Filters","Security","Inbound iATU regions restrict PCIe BAR hits to approved SoC ranges. Prevents unauthorized memory access. Regions are disabled by default until programmed. Software controls base/limit to enforce policy. Works alongside IOMMU for defense in depth.","Spec §15 Security and Protection, §8.2 IATU_IB_*","Explicit","Requires programming of inbound regions and disabling unused windows; optional IOMMU enhances protection"
"EHC-1000","Integration with SoC IOMMU for PCIe Inbound Traffic","Security/Memory","Supports use with a system IOMMU to translate and isolate inbound PCIe traffic. Enables per-device or per-process mappings. Reduces risk from malicious or buggy devices. Improves virtualization safety. Recommended for complex deployments.","Spec §15 Security and Protection","Explicit","Requires IOMMU hardware and OS drivers; configure ATS/PRI/PASID if leveraging device-side translation"
"EHC-1000","CPU Affinity and Vector Routing in Interrupt Aggregator","Performance/Interrupt","Routes interrupt sources to specific GIC SPI lines and CPUs. Enables balancing load across cores. Supports masking and prioritization per source. Improves real-time responsiveness. Simplifies integration with SMP OS schedulers.","Spec §8.9 ROUTE_CFG, §13","Explicit","Requires ROUTE_CFG programming and GIC target configuration; per-source enables must be set"
"EHC-1000","Programmable Coherency Attribute on DMA Transactions","Performance/Memory","Allows marking DMA accesses as coherent or non-coherent per system policy. Ensures correct cache behavior and data visibility. Reduces software cache maintenance when coherent. Set through DMA global configuration. Harmonizes with interconnect coherence domains.","Spec §9.7 DMA (coherent attribute), §8.3 DMA_GBL_CFG","Explicit","Requires coherent interconnect or ACE/CHI bridges when set; OS must map buffers appropriately"
"EHC-1000","Per-Lane Equalization Presets Exposed via Registers","Debug/Performance","Exposes detailed equalization controls on a per-lane basis. Software can read current status and adjust presets. Assists compliance and margining tests. Helps isolate SI issues during bring-up. Complements automatic equalization.","Spec §8.2 PCIE_EQ_CTRL and extended arrays","Explicit","Requires link training cycles and per-lane register access; PHY support for presets is needed"
"EHC-1000","Link Status and Training Visibility","Debug","Provides live link state including up/down, current speed, negotiated lanes, and training status. Aids diagnostics and recovery flows. Enables policy decisions for power management. Useful during enumeration and performance tuning. Reduces reliance on external analyzers.","Spec §8.2 PCIE_LINK_STATUS","Explicit","Requires PD_PCIE on and LTSSM activity; software must poll or handle interrupts for updates"
"EHC-1000","USB XHCI-like Register Model Subset","Configuration/Interface","Adopts an XHCI-inspired register model for familiarity. Simplifies porting of standard USB host stacks. Includes run/stop and reset controls. Provides event and port status registers. Streamlines software integration.","Spec §9.2 USB, §8.4 USBCMD/USBSTS/PORTSC1","Explicit","Requires driver adaptation to vendor subset and proper initialization sequence"
"EHC-1000","Clear-on-Read Error/Status in Peripherals (USB/I2C/SPI/UART)","Debug","Peripheral blocks provide status and error bits that clear on read. Simplifies ISR servicing with minimal writes. Prevents stale status from lingering. Harmonizes error handling across blocks. Improves robustness under high interrupt rates.","Spec §14 Error Handling and Debug, peripheral register descriptions","Explicit","Requires ISR design to read status before other operations; ensure ordering when multiple flags exist"
"EHC-1000","Watchdog Lock Register for Safety","Security/Safety","Watchdog includes a lock mechanism to prevent accidental reconfiguration. Ensures integrity of safety-critical timeouts. Requires explicit unlock sequence for updates. Helps meet safety goals in embedded systems. Reduces risk from errant software.","Spec §8.10 WATCHDOG_* (LOCK)","Explicit","Requires correct lock/unlock sequence and privileged access controls in software"
